Customer,Time of arrival,Number of people at arrival,Number of people currently in queue at arrival,Which 10 min interval in day,Which day in week,Time of start of service,Departure time,Wait time,
113,1138.65,2,0,113,0,1139.27,1144.5,0.624634,
114,1152.58,1,0,115,0,1152.58,1175.99,0,
115,1163.91,2,0,116,0,1175.99,1179.9,12.0784,
116,1171.11,3,1,117,0,1179.9,1182.6,8.79272,
117,1173.68,4,2,117,0,1182.6,1189.37,8.92261,
118,1184.97,2,0,118,0,1189.37,1192.48,4.39941,
119,1187.32,3,1,118,0,1192.48,1194.88,5.15674,
120,1196.88,1,0,119,0,1196.88,1204.67,0,
121,1251.94,1,0,125,0,1251.94,1260.63,0,
122,1271.65,1,0,127,0,1271.65,1275.56,0,
123,1272.86,2,0,127,0,1275.56,1279.64,2.70435,
124,1273.52,3,1,127,0,1279.64,1283.82,6.12292,
125,1293.48,1,0,129,0,1293.48,1293.89,0,
126,1294.92,1,0,129,0,1294.92,1295.02,0,
127,1299.9,1,0,129,0,1299.9,1301.44,0,
128,1306.42,1,0,130,0,1306.42,1306.99,0,
129,1306.58,2,0,130,0,1306.99,1307.5,0.406982,
130,1307.94,1,0,130,0,1307.94,1313.86,0,
131,1318.17,1,0,131,0,1318.17,1320.13,0,
132,1322.79,1,0,132,0,1322.79,1323.8,0,
133,1336.33,1,0,133,0,1336.33,1336.93,0,
134,1341.31,1,0,134,0,1341.31,1343.52,0,
135,1349.86,1,0,134,0,1349.86,1357.3,0,
136,1351.45,2,0,135,0,1357.3,1361.87,5.85413,
137,1359.91,2,0,135,0,1361.87,1362.23,1.95483,
138,1359.98,3,1,135,0,1362.23,1381.25,2.24927,
139,1361.19,4,2,136,0,1381.25,1381.53,20.0564,
140,1373.64,3,1,137,0,1381.53,1384.11,7.89502,
141,1376.78,4,2,137,0,1384.11,1389.47,7.33728,
142,1386.92,2,0,138,0,1389.47,1394.97,2.5498,
143,1392.86,2,0,139,0,1394.97,1400.72,2.11084,
144,1394.33,3,1,139,0,1400.72,1402.25,6.3877,
145,1402.42,1,0,140,0,1402.42,1407.71,0,
146,1407.15,2,0,140,0,1407.71,1426.51,0.557861,
147,1430.59,1,0,143,0,1430.59,1437.46,0,
148,1431.5,2,0,143,0,1437.46,1447.26,5.96375,
149,1444.18,2,0,0,1,1447.26,1447.66,3.08582,
150,1450.69,1,0,1,1,1450.69,1453.54,0,
151,1453.61,1,0,1,1,1453.61,1454.87,0,
152,1453.66,2,0,1,1,1454.87,1456.18,1.21021,
153,1472.72,1,0,3,1,1472.72,1473.35,0,
154,1481.01,1,0,4,1,1481.01,1482.8,0,
155,1482.02,2,0,4,1,1482.8,1496.76,0.781982,
156,1499.9,1,0,5,1,1499.9,1500.73,0,
157,1502.6,1,0,6,1,1502.6,1507.13,0,
