Customer,Time of arrival,Number of people at arrival,Which 10 min interval in day,Which day in week,Number of people at station 0 at arrival,Number of people in queue at station 0 at arrival,Number of active servers in station 0,Number of people at station 1 at arrival,Number of people in queue at station 1 at arrival,Number of active servers in station 1,Time of start of service,Departure time,Wait time,
4324,62361.5,2,44,1,2,0,5,0,0,1,62370.1,62375.4,8.60938,
4325,62369,3,44,1,2,0,5,1,0,1,62381,62385.7,11.9297,
4326,62371.9,3,45,1,2,0,6,1,0,2,62381.5,62386.8,9.60156,
4327,62382.6,3,46,1,1,0,6,2,0,2,62390.7,62396.8,8.14453,
4328,62386.5,3,46,1,2,0,6,1,0,2,62397.9,62402,11.3984,
4329,62408.9,1,48,1,1,0,6,0,0,2,62421.1,62426.5,12.2383,
4330,62412.8,2,49,1,2,0,6,0,0,2,62423.9,62427.9,11.1289,
4331,62448,1,52,1,1,0,6,0,0,2,62455.1,62458.4,7.03906,
4332,62461.7,1,54,1,1,0,6,0,0,2,62470.9,62472.9,9.21484,
4333,62462.3,2,54,1,2,0,6,0,0,2,62470.5,62473.7,8.14453,
4334,62463.3,3,54,1,3,0,6,0,0,2,62474.3,62478.4,11.0469,
4335,62471,4,55,1,2,0,6,2,0,2,62480.4,62486.1,9.39062,
4336,62473.4,4,55,1,3,0,6,1,0,2,62482.8,62491.5,9.38672,
4337,62476.8,4,55,1,3,0,6,1,0,2,62486.1,62488.8,9.28906,
4338,62499.7,1,57,1,1,0,6,0,0,2,62510.2,62514.3,10.4922,
4339,62501.4,2,58,1,2,0,6,0,0,2,62510.9,62516.9,9.48438,
4340,62503.4,3,58,1,3,0,6,0,0,2,62514.3,62518.8,10.8516,
4341,62522.6,1,60,1,1,0,6,0,0,3,62534.5,62540,11.8633,
4342,62532.4,2,61,1,2,0,6,0,0,3,62545.1,62551.3,12.6562,
4343,62537,3,61,1,2,0,6,1,0,3,62548.1,62553,11.0625,
4344,62549.4,3,62,1,1,0,6,2,0,4,62560.1,62567.4,10.7266,
4345,62550.7,4,63,1,2,0,9,2,0,4,62560.2,62567.7,9.5625,
4346,62557.1,3,63,1,3,0,9,0,0,4,62565.6,62567.6,8.46484,
4347,62563.7,4,64,1,2,0,9,2,0,4,62574.7,62577.6,11.0625,
4348,62579.1,1,65,1,1,0,9,0,0,4,62590.1,62593.5,10.9375,
4349,62586.3,2,66,1,2,0,9,0,0,4,62596.7,62602.4,10.3672,
4350,62597.1,2,67,1,1,0,9,1,0,4,62608.5,62613.9,11.3984,
4351,62599.3,3,67,1,2,0,9,1,0,4,62612.1,62618.1,12.7969,
4352,62618.6,1,69,1,1,0,9,0,0,4,62626.6,62631.5,7.94531,
4353,62627.4,2,70,1,1,0,9,1,0,4,62638.5,62642.5,11.1289,
4354,62630.6,3,71,1,2,0,9,1,0,4,62640.4,62646.5,9.84375,
4355,62638,3,71,1,3,0,9,0,0,4,62646.7,62651.4,8.69141,
4356,62646.9,2,72,1,1,0,9,1,0,4,62658.6,62661.6,11.6406,
4357,62677.9,1,75,1,1,0,9,0,0,4,62687.7,62692,9.78906,
4358,62681.2,2,76,1,2,0,9,0,0,4,62689.4,62695,8.12109,
4359,62689.9,3,76,1,1,0,9,2,0,4,62699.7,62702.3,9.81641,
4360,62691.1,4,77,1,2,0,9,2,0,4,62701.5,62707,10.4375,
4361,62692.6,4,77,1,3,0,9,1,0,4,62702.8,62708.4,10.1836,
4362,62698.6,4,77,1,4,0,9,0,0,4,62710.3,62713.1,11.7383,
4363,62713.2,1,79,1,1,0,9,0,0,4,62723.9,62729.6,10.7227,
4364,62725,2,80,1,1,0,9,1,0,4,62736.2,62741.9,11.2031,
4365,62728.1,3,80,1,2,0,9,1,0,4,62737.6,62741.7,9.48047,
4366,62732.2,3,81,1,3,0,9,0,0,4,62744.1,62748.3,11.8633,
4367,62763.3,1,84,1,1,0,9,0,0,4,62772.8,62777.1,9.48047,
4368,62764.3,2,84,1,2,0,9,0,0,4,62773,62778.9,8.69922,
4369,62768.3,3,84,1,3,0,9,0,0,4,62779.3,62786.8,10.9414,
4370,62771.4,4,85,1,4,0,9,0,0,4,62782.1,62788.5,10.7344,
4371,62774.8,5,85,1,3,0,9,2,0,4,62785.9,62790.3,11.1367,
4372,62777.7,5,85,1,4,0,9,1,0,4,62787.3,62790.7,9.60938,
4373,62783.9,5,86,1,3,0,9,2,0,4,62796.3,62801.7,12.3945,
4374,62812.6,1,89,1,1,0,9,0,0,5,62821.1,62824.4,8.49219,
4375,62824,2,90,1,1,0,9,1,0,5,62834.5,62841.8,10.5117,
4376,62847.6,1,92,1,1,0,9,0,0,5,62858.2,62863,10.6133,
4377,62853.7,2,93,1,2,0,9,0,0,5,62863.5,62866.9,9.78906,
4378,62872.7,1,95,1,1,0,9,0,0,5,62883.5,62887.6,10.832,
4379,62873.2,2,95,1,2,0,9,0,0,5,62884.3,62890.9,11.0664,
4380,62879.4,3,95,1,3,0,9,0,0,5,62889.5,62895.3,10.1016,
4381,62918.1,1,99,1,1,0,9,0,0,5,62927.2,62931.5,9.10938,
4382,62951.1,1,103,1,1,0,9,0,0,5,62961.8,62965.9,10.7344,
4383,63010.2,1,109,1,1,0,9,0,0,5,63019.3,63024.3,9.10938,
4384,63011.1,2,109,1,2,0,9,0,0,5,63021,63024.5,9.83984,
4385,63023.2,3,110,1,1,0,9,2,0,5,63032.6,63035.5,9.42969,
4386,63025.3,2,110,1,2,0,9,0,0,5,63037.9,63040.8,12.5898,
4387,63032.7,3,111,1,2,0,9,1,0,4,63042.5,63048,9.77734,
4388,63040.9,2,112,1,2,0,9,0,0,4,63051,63056.4,10.1836,
4389,63064.9,1,114,1,1,0,9,0,0,4,63074.4,63081.9,9.52344,
4390,63070.3,2,115,1,2,0,9,0,0,4,63079.6,63083,9.32031,
4391,63173.6,1,125,1,1,0,9,0,0,3,63182.6,63186.7,9.05469,
4392,63175.7,2,125,1,2,0,9,0,0,3,63186.4,63191.3,10.7109,
4393,63188.1,2,126,1,1,0,9,1,0,3,63197.9,63203.6,9.84375,
4394,63198.1,2,127,1,1,0,9,1,0,3,63210.4,63215.7,12.2109,
4395,63214.3,2,129,1,1,0,9,1,0,3,63222.3,63228,7.94531,
4396,63260,1,133,1,1,0,9,0,0,3,63270.5,63275,10.5117,
4397,63271.1,2,135,1,1,0,8,1,0,3,63281.1,63284.3,9.98438,
4398,63272,3,135,1,2,0,8,1,0,3,63281.5,63285.4,9.42969,
4399,63292.5,1,137,1,1,0,8,0,0,3,63303.3,63309.1,10.7383,
4400,63332.7,1,141,1,1,0,8,0,0,3,63345.5,63351.6,12.7734,
4401,63402.9,1,4,2,1,0,8,0,0,2,63411.1,63417.1,8.24609,
4402,63434.5,1,7,2,1,0,8,0,0,2,63445.4,63451.6,10.832,
4403,63528.2,1,16,2,1,0,5,0,0,1,63541.9,63545.2,13.6602,
4404,63593,1,23,2,1,0,5,0,0,1,63603,63606.5,10.0312,
4405,63607,1,24,2,1,0,5,0,0,1,63616.3,63620.1,9.29297,
4406,63619.3,2,25,2,1,0,5,1,0,1,63645.2,63649.6,25.9688,
4407,63621,2,26,2,2,0,5,0,0,1,63632.1,63641,11.1367,
4408,63625,3,26,2,3,0,5,0,0,1,63641,63645.2,15.9688,
4409,63646.3,2,28,2,1,0,5,1,0,1,63659.5,63663,13.1953,
4410,63677.1,1,31,2,1,0,5,0,0,1,63686.8,63692.4,9.66406,
4411,63691.9,2,33,2,1,0,5,1,0,1,63701.7,63705.8,9.78516,
4412,63723.9,1,36,2,1,0,5,0,0,1,63734.6,63740.2,10.7227,
4413,63729.8,2,36,2,2,0,5,0,0,1,63740.2,63745.9,10.4062,
4414,63738.5,3,37,2,2,0,5,1,0,1,63748.4,63754,9.85156,
4415,63742.9,3,38,2,2,0,5,1,0,1,63754,63757.3,11.0781,
4416,63785.9,1,42,2,1,0,5,0,0,1,63795.1,63799.6,9.22266,
4417,63805.5,1,44,2,1,0,5,0,0,1,63813.7,63816.6,8.14453,
4418,63810.2,2,45,2,2,0,6,0,0,2,63822.2,63825.7,12.0234,
4419,63824.3,2,46,2,1,0,6,1,0,2,63833.5,63838.7,9.21484,
4420,63836.1,2,47,2,1,0,6,1,0,2,63845.6,63850.3,9.48047,
4421,63866.1,1,50,2,1,0,6,0,0,2,63875.1,63879.3,9.04688,
4422,63870,2,51,2,2,0,6,0,0,2,63880.7,63886.1,10.7109,
4423,63883.1,2,52,2,1,0,6,1,0,2,63892.8,63897.5,9.66406,
4424,63897.4,2,53,2,1,0,6,1,0,2,63906.8,63909.3,9.35938,
4425,63898.3,2,53,2,2,0,6,0,0,2,63908.1,63911.5,9.83594,
4426,63901.2,3,54,2,3,0,6,0,0,2,63914.1,63920.1,12.9141,
4427,63904.9,4,54,2,4,0,6,0,0,2,63914.4,63920.5,9.42969,
4428,63912.5,3,55,2,3,0,6,0,0,2,63921.4,63927,8.81641,
4429,63925.6,2,56,2,1,0,6,1,0,2,63937.1,63943.6,11.5312,
4430,63932.9,2,57,2,2,0,6,0,0,2,63942,63947.7,9.07422,
4431,63934.8,3,57,2,3,0,6,0,0,2,63944.2,63952.1,9.39062,
4432,63972.5,1,61,2,1,0,6,0,0,3,63982.1,63987.6,9.60156,
4433,63977.9,2,61,2,2,0,6,0,0,3,63990.2,63994.9,12.3203,
4434,63988.4,2,62,2,2,0,6,0,0,4,63997.7,64002.1,9.32031,
4435,63992.4,3,63,2,2,0,9,1,0,4,64001.6,64005.1,9.28125,
4436,63995.6,3,63,2,3,0,9,0,0,4,64008.2,64013.6,12.5898,
4437,63995.8,4,63,2,4,0,9,0,0,4,64004.3,64008.3,8.50781,
4438,63997.3,5,63,2,5,0,9,0,0,4,64007.8,64014.3,10.4844,
4439,64005.9,4,64,2,3,0,9,1,0,4,64015.4,64021.1,9.46094,
4440,64007.8,5,64,2,3,0,9,2,0,4,64019,64023.7,11.1562,
4441,64012.3,5,65,2,3,0,9,2,0,4,64020.8,64024.3,8.41797,
4442,64014.4,4,65,2,4,0,9,0,0,4,64025.2,64030.6,10.7734,
4443,64024.2,3,66,2,2,0,9,1,0,4,64033.7,64041.6,9.50391,
4444,64056,1,69,2,1,0,9,0,0,4,64066.9,64078.2,10.9023,
4445,64060.6,2,70,2,2,0,9,0,0,4,64071.3,64075.4,10.7422,
4446,64066.4,3,70,2,3,0,9,0,0,4,64077.1,64082.4,10.7383,
4447,64092.5,1,73,2,1,0,9,0,0,4,64101.3,64107.8,8.81641,
4448,64105.2,2,74,2,1,0,9,1,0,4,64117,64123.5,11.7383,
4449,64107.7,3,74,2,2,0,9,1,0,4,64119.4,64125.1,11.6719,
4450,64116.9,3,75,2,3,0,9,0,0,4,64125.7,64130,8.81641,
4451,64130.4,1,77,2,1,0,9,0,0,4,64139,64142.1,8.55469,
4452,64135.9,2,77,2,2,0,9,0,0,4,64147.4,64154.1,11.5312,
4453,64153.4,2,79,2,1,0,9,1,0,4,64162,64166.1,8.625,
4454,64162.5,2,80,2,1,0,9,1,0,4,64173,64176.6,10.4844,
4455,64178.3,1,81,2,1,0,9,0,0,4,64190,64195.5,11.7383,
4456,64181.4,2,82,2,2,0,9,0,0,4,64190.4,64193.8,9.02344,
4457,64182.7,3,82,2,3,0,9,0,0,4,64195.1,64200,12.4258,
4458,64245.7,1,88,2,1,0,9,0,0,5,64254.8,64261.9,9.10938,
4459,64258.2,2,89,2,1,0,9,1,0,5,64267.6,64271.1,9.35938,
4460,64305.6,1,94,2,1,0,9,0,0,5,64315.5,64320.3,9.98438,
4461,64318.5,2,95,2,1,0,9,1,0,5,64327.6,64334.6,9.08984,
4462,64320.9,2,96,2,2,0,9,0,0,5,64329.6,64337.6,8.69922,
4463,64333.3,3,97,2,1,0,9,2,0,5,64342.5,64348.3,9.21484,
4464,64334.8,3,97,2,2,0,9,1,0,5,64342.8,64346.1,7.98047,
4465,64372.6,1,101,2,1,0,9,0,0,5,64383.6,64387.6,10.9609,
4466,64375.9,2,101,2,2,0,9,0,0,5,64386.5,64390.8,10.5664,
4467,64406.3,1,104,2,1,0,9,0,0,5,64415.7,64421.6,9.35547,
4468,64414.8,2,105,2,2,0,9,0,0,5,64425.6,64429.8,10.832,
4469,64474.3,1,111,2,1,0,9,0,0,4,64487.2,64491,12.9141,
4470,64477.8,2,111,2,2,0,9,0,0,4,64490.4,64493.8,12.5898,
4471,64483.1,3,112,2,3,0,9,0,0,4,64492.2,64503.5,9.09766,
4472,64496.2,2,113,2,1,0,9,1,0,4,64504.8,64506.8,8.60938,
4473,64521.8,1,116,2,1,0,9,0,0,4,64529.7,64533.2,7.82812,
4474,64527.3,2,116,2,2,0,9,0,0,4,64540.6,64546.3,13.3438,
4475,64543.1,2,118,2,1,0,9,1,0,4,64552.4,64556.7,9.21484,
4476,64544.7,3,118,2,2,0,9,1,0,4,64556,64560.7,11.2969,
4477,64666.1,1,130,2,1,0,9,0,0,3,64675.4,64679.6,9.28516,
4478,64680.4,1,132,2,1,0,9,0,0,3,64689.6,64694.3,9.22266,
4479,64698.1,1,133,2,1,0,9,0,0,3,64707.1,64711.9,9.07422,
4480,64783.8,1,142,2,1,0,8,0,0,3,64794.7,64800.1,10.8516,
4481,64784.3,2,142,2,2,0,8,0,0,3,64792.7,64796.2,8.41797,
4482,64819.5,1,1,3,1,0,8,0,0,2,64831.5,64834.2,12.0234,
4483,64834.3,1,3,3,1,0,8,0,0,2,64845.4,64850.1,11.0898,
4484,64850.6,1,5,3,1,0,8,0,0,2,64858.4,64862.7,7.82812,
4485,64901.4,1,10,3,1,0,8,0,0,2,64910.4,64916.6,8.96875,
4486,64937.1,1,13,3,1,0,5,0,0,1,64948.6,64952.9,11.5,
4487,64949.9,2,14,3,1,0,5,1,0,1,64960.8,64966.3,10.8984,
4488,64983.6,1,18,3,1,0,5,0,0,1,64991.6,64996.5,8,
4489,64989.7,2,18,3,2,0,5,0,0,1,64996.8,65000.2,7.03906,
4490,65012.8,1,21,3,1,0,5,0,0,1,65023.3,65028.4,10.5664,
4491,65016.4,2,21,3,2,0,5,0,0,1,65028.4,65033.1,12.0391,
4492,65058.3,1,25,3,1,0,5,0,0,1,65068.2,65074.4,9.91406,
4493,65070.8,2,27,3,1,0,5,1,0,1,65079,65086,8.17969,
4494,65098.3,1,29,3,1,0,5,0,0,1,65110.9,65114.4,12.6562,
4495,65131,1,33,3,1,0,5,0,0,1,65139.4,65144.9,8.46484,
4496,65151.5,1,35,3,1,0,5,0,0,1,65161.7,65169.6,10.125,
4497,65196.6,1,39,3,1,0,5,0,0,1,65205.2,65211.2,8.625,
4498,65196.8,2,39,3,2,0,5,0,0,1,65211.2,65215.2,14.3867,
4499,65206.2,3,40,3,2,0,5,1,0,1,65215.2,65222.5,8.98047,
4500,65207.2,4,40,3,3,0,5,1,0,1,65222.5,65226.7,15.2656,
4501,65217,3,41,3,2,0,5,1,0,1,65227.8,65232.3,10.8516,
4502,65227.1,2,42,3,2,0,5,0,0,1,65238,65243.3,10.9414,
4503,65266.7,1,46,3,1,0,6,0,0,2,65275.3,65281.8,8.60938,
4504,65268.2,2,46,3,2,0,6,0,0,2,65279,65283.2,10.7266,
4505,65285.3,1,48,3,1,0,6,0,0,2,65294.4,65300.7,9.10938,
4506,65288.6,2,48,3,2,0,6,0,0,2,65297.1,65302,8.51172,
4507,65291.5,3,49,3,3,0,6,0,0,2,65303.4,65308.1,11.9297,
4508,65306.4,2,50,3,1,0,6,1,0,2,65314.6,65320.7,8.24219,
4509,65319.2,2,51,3,1,0,6,1,0,2,65330.9,65336.7,11.6406,
4510,65335.9,2,53,3,1,0,6,1,0,2,65347.5,65352.5,11.5312,
4511,65336.8,2,53,3,2,0,6,0,0,2,65347.2,65355.7,10.3867,
4512,65344.8,3,54,3,3,0,6,0,0,2,65354.9,65363.1,10.125,
4513,65358.3,2,55,3,1,0,6,1,0,2,65368.9,65373.8,10.5664,
4514,65373,2,57,3,1,0,6,1,0,2,65380,65383.7,7.03906,
4515,65373.1,3,57,3,2,0,6,1,0,2,65383.7,65387.8,10.625,
4516,65374,3,57,3,3,0,6,0,0,2,65382.7,65388.3,8.69922,
4517,65386.6,3,58,3,1,0,6,2,0,2,65394.6,65397.8,8,
4518,65400.8,1,60,3,1,0,6,0,0,3,65409.5,65417.5,8.76562,
4519,65402.6,2,60,3,2,0,6,0,0,3,65411.9,65416.3,9.21484,
4520,65408.2,3,60,3,3,0,6,0,0,3,65417.9,65423.8,9.74609,
4521,65426,1,62,3,1,0,6,0,0,4,65438.4,65444.4,12.3945,
4522,65471,1,67,3,1,0,9,0,0,4,65479.4,65484.1,8.41797,
4523,65476.1,2,67,3,2,0,9,0,0,4,65484.3,65492.7,8.14453,
4524,65483.7,3,68,3,2,0,9,1,0,4,65497.1,65503.9,13.3438,
4525,65490.6,3,69,3,2,0,9,1,0,4,65501.4,65507.6,10.8086,
4526,65494.4,3,69,3,3,0,9,0,0,4,65506,65509.6,11.6445,
4527,65504.8,3,70,3,2,0,9,1,0,4,65515.7,65521.1,10.9414,
4528,65515.3,2,71,3,2,0,9,0,0,4,65525.1,65530.7,9.77734,
4529,65547.7,1,74,3,1,0,9,0,0,4,65558.1,65563.8,10.3672,
4530,65548.8,2,74,3,2,0,9,0,0,4,65558.7,65563.8,9.91406,
4531,65553.3,3,75,3,3,0,9,0,0,4,65564.5,65570.5,11.1562,
4532,65557,4,75,3,4,0,9,0,0,4,65570.7,65577.2,13.6562,
4533,65559.1,5,75,3,3,0,9,2,0,4,65569.7,65574.8,10.6094,
4534,65565.1,4,76,3,3,0,9,1,0,4,65574.4,65580.4,9.21875,
4535,65579.6,2,77,3,1,0,9,1,0,4,65588.6,65591.5,9.02344,
4536,65584.2,2,78,3,2,0,9,0,0,4,65595.5,65600.6,11.2969,
4537,65609.5,1,80,3,1,0,9,0,0,4,65618,65621.2,8.46875,
4538,65624.3,1,82,3,1,0,9,0,0,4,65632.8,65636.8,8.49219,
4539,65624.8,2,82,3,2,0,9,0,0,4,65635.5,65639.9,10.6875,
4540,65642.9,1,84,3,1,0,9,0,0,4,65654.2,65658.9,11.2969,
4541,65659.2,1,85,3,1,0,9,0,0,4,65669.9,65677,10.7109,
4542,65681,1,88,3,1,0,9,0,0,5,65693.9,65698.8,12.9141,
4543,65693.7,2,89,3,2,0,9,0,0,5,65700.7,65706.5,7.03906,
4544,65713.2,1,91,3,1,0,9,0,0,5,65722.1,65729.6,8.92188,
4545,65716.3,2,91,3,2,0,9,0,0,5,65724,65729.3,7.66406,
4546,65726.3,3,92,3,1,0,9,2,0,5,65735.9,65742,9.5625,
4547,65734.4,2,93,3,2,0,9,0,0,5,65743.6,65749,9.19531,
4548,65739.5,3,93,3,2,0,9,1,0,5,65750,65752.6,10.4688,
4549,65774.1,1,97,3,1,0,9,0,0,5,65784.3,65788.7,10.2422,
4550,65776.6,2,97,3,2,0,9,0,0,5,65784.8,65791.1,8.1875,
4551,65780.7,3,98,3,3,0,9,0,0,5,65791.8,65797.7,11.0938,
4552,65828.6,1,102,3,1,0,9,0,0,5,65840.2,65843.8,11.6406,
4553,65853.2,1,105,3,1,0,9,0,0,5,65862.3,65866.2,9.09375,
4554,65870.8,1,107,3,1,0,9,0,0,5,65883.2,65886.2,12.3984,
4555,65921.4,1,112,3,1,0,9,0,0,4,65928.6,65934.5,7.1875,
4556,65933.1,2,113,3,1,0,9,1,0,4,65944.7,65950.2,11.5469,
4557,65952.8,1,115,3,1,0,9,0,0,4,65963.9,65971.8,11.0391,
4558,65974.4,1,117,3,1,0,9,0,0,4,65986.6,65991.3,12.1406,
4559,65981.4,2,118,3,2,0,9,0,0,4,65990.8,65997.4,9.35938,
4560,66000,1,120,3,1,0,9,0,0,3,66009.9,66014.7,9.85156,
4561,66002.8,2,120,3,2,0,9,0,0,3,66015.1,66019.9,12.3203,
4562,66039.9,1,123,3,1,0,9,0,0,3,66047.9,66052.4,8,
4563,66083.5,1,128,3,1,0,9,0,0,3,66095,66100.6,11.5,
4564,66108.2,1,130,3,1,0,9,0,0,3,66118.6,66127.3,10.4688,
4565,66108.9,2,130,3,2,0,9,0,0,3,66120.4,66124.8,11.5625,
4566,66112.7,3,131,3,3,0,9,0,0,3,66119.8,66124.4,7.03906,
4567,66185.7,1,138,3,1,0,8,0,0,3,66195.5,66199.9,9.83594,
4568,66239.9,1,143,3,1,0,8,0,0,3,66248.7,66254.3,8.8125,
4569,66285.2,1,4,4,1,0,8,0,0,2,66293.4,66296.7,8.25,
4570,66304.5,1,6,4,1,0,8,0,0,2,66313.8,66320.5,9.35938,
4571,66323.9,1,8,4,1,0,8,0,0,2,66333.8,66340.5,9.88281,
4572,66379.5,1,13,4,1,0,5,0,0,1,66388.4,66390.4,8.92188,
4573,66430.4,1,19,4,1,0,5,0,0,1,66440.6,66446.8,10.1797,
4574,66489.6,1,24,4,1,0,5,0,0,1,66500.4,66503.9,10.7812,
4575,66500.6,2,26,4,1,0,5,1,0,1,66508.8,66514.5,8.19531,
4576,66529.7,1,28,4,1,0,5,0,0,1,66538.8,66544.2,9.14062,
4577,66531.8,2,29,4,2,0,5,0,0,1,66544.2,66547.9,12.3516,
4578,66543.9,3,30,4,1,0,5,2,1,1,66553,66559.4,9.14062,
4579,66563.7,1,32,4,1,0,5,0,0,1,66572.2,66577.3,8.50781,
4580,66612.2,1,37,4,1,0,5,0,0,1,66622.9,66627,10.7422,
4581,66625.8,2,38,4,1,0,5,1,0,1,66637,66639.8,11.2422,
4582,66627.8,2,38,4,2,0,5,0,0,1,66639.8,66642.3,11.9766,
4583,66636.3,3,39,4,3,0,5,0,0,1,66655.4,66658.6,19.0859,
4584,66637.4,4,39,4,3,0,5,1,0,1,66649.4,66655.4,11.9297,
4585,66651.7,3,41,4,1,0,5,2,1,1,66660.4,66663.6,8.76562,
4586,66652,4,41,4,2,0,5,2,1,1,66663.6,66667.8,11.5156,
4587,66670.8,1,43,4,1,0,5,0,0,1,66681.8,66685.6,11.0547,
4588,66677.1,2,43,4,2,0,5,0,0,1,66687.8,66694,10.7344,
4589,66722.5,1,48,4,1,0,6,0,0,2,66730.7,66737.3,8.17969,
4590,66728.9,2,48,4,2,0,6,0,0,2,66740.1,66744.8,11.2031,
4591,66734.9,3,49,4,2,0,6,1,0,2,66745.9,66750.1,10.9766,
4592,66746.2,2,50,4,1,0,6,1,0,2,66755.9,66760.3,9.75,
4593,66755.6,2,51,4,2,0,6,0,0,2,66765.7,66772.3,10.0312,
4594,66760,3,51,4,2,0,6,1,0,2,66769,66773.8,9.04688,
4595,66767.2,3,52,4,2,0,6,1,0,2,66778.3,66782,11.0625,
4596,66769,4,52,4,3,0,6,1,0,2,66779.6,66783.3,10.6094,
4597,66773.5,4,53,4,3,0,6,1,0,2,66784.1,66787.5,10.5703,
4598,66781.9,4,54,4,2,0,6,2,0,2,66792.3,66800.4,10.375,
4599,66785.6,3,54,4,2,0,6,1,0,2,66794.8,66799.8,9.19531,
4600,66789.4,3,54,4,3,0,6,0,0,2,66799.8,66806,10.3906,
4601,66792.2,4,55,4,4,0,6,0,0,2,66800.4,66803.4,8.14844,
4602,66792.9,5,55,4,4,0,6,1,0,2,66803.4,66807.2,10.5078,
4603,66798.5,6,55,4,4,0,6,2,0,2,66807.5,66812.3,9.02344,
4604,66803.7,4,56,4,2,0,6,2,0,2,66815.4,66822.3,11.6719,
4605,66814.5,2,57,4,2,0,6,0,0,2,66826.9,66829.5,12.3984,
4606,66824.5,2,58,4,2,0,6,0,0,2,66837.1,66841.5,12.5859,
4607,66826.9,3,58,4,3,0,6,0,0,2,66834.5,66838.9,7.66406,
4608,66830.9,3,59,4,3,0,6,0,0,2,66840.3,66846.3,9.35938,
4609,66832.4,4,59,4,4,0,6,0,0,2,66839.7,66844.5,7.29688,
4610,66843.2,3,60,4,1,0,6,2,0,3,66853.8,66857.7,10.5938,
4611,66848.6,2,60,4,2,0,6,0,0,3,66859.5,66866.8,10.9062,
4612,66850,3,61,4,3,0,6,0,0,3,66859.9,66863.4,9.85156,
4613,66850.4,4,61,4,4,0,6,0,0,3,66861.3,66866.8,10.9375,
4614,66851.8,5,61,4,5,0,6,0,0,3,66860.7,66866.9,8.96875,
4615,66857.5,6,61,4,5,0,6,1,0,3,66867.9,66874.6,10.375,
4616,66861.3,6,62,4,2,0,6,4,0,4,66872.1,66875.9,10.8516,
4617,66867.6,3,62,4,3,0,6,0,0,4,66877.3,66882.1,9.75,
4618,66877.6,2,63,4,1,0,9,1,0,4,66885.1,66894,7.44531,
4619,66877.9,3,63,4,2,0,9,1,0,4,66886.4,66892.3,8.50781,
4620,66882.9,3,64,4,3,0,9,0,0,4,66892.5,66896.3,9.60938,
4621,66883,4,64,4,4,0,9,0,0,4,66892.5,66898.3,9.42969,
4622,66897.5,2,65,4,1,0,9,1,0,4,66906.1,66911.9,8.6875,
4623,66901.1,2,66,4,2,0,9,0,0,4,66910.1,66913.9,9.02344,
4624,66915.5,1,67,4,1,0,9,0,0,4,66926.9,66929.6,11.3984,
4625,66916.2,2,67,4,2,0,9,0,0,4,66926.3,66933.5,10.0469,
4626,66924.1,3,68,4,3,0,9,0,0,4,66936.3,66941,12.2344,
4627,66926.3,4,68,4,3,0,9,1,0,4,66934.7,66940,8.375,
4628,66926.5,5,68,4,4,0,9,1,0,4,66936.2,66943.1,9.75,
4629,66930.4,5,69,4,4,0,9,1,0,4,66941.3,66945.6,10.8516,
4630,66933.1,6,69,4,5,0,9,1,0,4,66943.4,66949.1,10.3672,
4631,66945.9,2,70,4,1,0,9,1,0,4,66956.9,66961.6,11.0469,
4632,66946.6,3,70,4,2,0,9,1,0,4,66954.5,66959.4,7.97656,
4633,66948.4,4,70,4,3,0,9,1,0,4,66957,66962.4,8.60938,
4634,66954.5,4,71,4,4,0,9,0,0,4,66961.7,66966.5,7.1875,
4635,66954.6,5,71,4,4,0,9,1,0,4,66963.7,66967.3,9.10156,
4636,66955.8,6,71,4,5,0,9,1,0,4,66965.6,66970.5,9.78125,
4637,66958.4,7,71,4,4,0,9,3,0,4,66966.9,66971.3,8.55469,
4638,66983.4,1,74,4,1,0,9,0,0,4,66996.3,67002.5,12.9141,
4639,66984.8,2,74,4,2,0,9,0,0,4,66995.9,67001.5,11.0391,
4640,66991.6,3,75,4,3,0,9,0,0,4,67005.1,67008.4,13.5156,
4641,67004.6,2,76,4,2,0,9,0,0,4,67015,67019.7,10.375,
4642,67017.2,2,77,4,1,0,9,1,0,4,67027.1,67030.1,9.94531,
4643,67038.6,1,79,4,1,0,9,0,0,4,67049.4,67054,10.8047,
4644,67062.2,1,82,4,1,0,9,0,0,4,67071.5,67077.7,9.28906,
4645,67068.6,2,82,4,2,0,9,0,0,4,67080.9,67086.6,12.2109,
4646,67072.7,3,83,4,2,0,9,1,0,4,67085.9,67089.9,13.1953,
4647,67082.1,3,84,4,2,0,9,1,0,4,67093.2,67099.2,11.0547,
4648,67085.6,4,84,4,3,0,9,1,0,4,67097.3,67100.9,11.6406,
4649,67089.6,4,84,4,3,0,9,1,0,4,67100.5,67106.4,10.9062,
4650,67123.9,1,88,4,1,0,9,0,0,5,67133.3,67139,9.42969,
4651,67144.9,1,90,4,1,0,9,0,0,5,67156.1,67160.5,11.2422,
4652,67155.3,2,91,4,2,0,9,0,0,5,67166.3,67173.6,11.0625,
4653,67156.7,3,91,4,2,0,9,1,0,5,67167.2,67176.2,10.4688,
4654,67159.6,4,91,4,3,0,9,1,0,5,67168.9,67176.2,9.38281,
4655,67169.9,4,92,4,1,0,9,3,0,5,67179.3,67183.5,9.38281,
4656,67190,1,95,4,1,0,9,0,0,5,67205.3,67209.3,15.2656,
4657,67214.1,1,97,4,1,0,9,0,0,5,67223.5,67226.7,9.42969,
4658,67215.9,2,97,4,2,0,9,0,0,5,67224.4,67229.1,8.50781,
